#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
32,Thailand,"3,450,980","+27,024","24,582 ",+82,"3,186,052","+23,721","240,346","1,496","49,228",351,"17,270,775","246,369","70,101,352 ",Asia,"202,8524",385,1,"3,429"
33,Canada,"3,420,292",,"37,286 ",,"3,255,833",,"127,173",409,"89,276",973,"59,103,163","1,542,700","38,311,500 ",North America,"111,0281",,,"3,319"
34,Chile,"3,415,989",,"55,992 ",,"2,821,559",,"538,438",744,"176,095","2,886","34,893,207","1,798,756","19,398,525 ",South America,63461,,,"27,757"
35,Switzerland,"3,364,107",,"13,603 ",,"2,674,302",,"676,202",159,"383,876","1,552","19,955,835","2,277,148","8,763,521 ",Europe,36440,,,"77,161"
36,Denmark,"2,878,831",,"5,486 ",,"2,764,395",,"108,950",27,"494,025",941,"126,608,338","21,726,762","5,827,299 ",Europe,"21,0620",,,"18,696"
37,Greece,"2,861,993",,"27,083 ",,"2,577,597",,"257,313",338,"276,910","2,620","71,992,674","6,965,604","10,335,453 ",Europe,43820,,,"24,896"
38,Romania,"2,827,936",,"64,789 ",,"2,606,660",,"156,487",431,"148,707","3,407","21,857,638","1,149,381","19,016,885 ",Europe,72941,,,"8,229"
39,Sweden,"2,475,687",,"18,020 ",,"2,413,574",,"44,093",32,"242,533","1,765","18,382,831","1,800,893","10,207,618 ",Europe,45661,,,"4,320"
40,Iraq,"2,316,758",,"25,134 ",,"2,276,119",,"15,505",68,"55,459",602,"18,257,537","437,051","41,774,432 ",Asia,"181,6622",,,371
41,Serbia,"1,962,013",,"15,718 ",,"1,908,271",,"38,024",43,"226,121","1,811","9,076,734","1,046,091","8,676,815 ",Europe,45521,,,"4,382"
42,Bangladesh,"1,950,980",,"29,118 ",,"1,873,766",,"48,096","1,264","11,647",174,"13,750,604","82,087","167,512,227 ",Asia,"865,75312",,,287
43,Hungary,"1,836,919","+2,651","45,220 ",+35,"1,689,460","+3,141","102,239",71,"190,985","4,702","11,040,273","1,147,859","9,618,144 ",Europe,52131,276,4,"10,630"
44,Jordan,"1,689,314",,"14,003 ",,"1,668,852",,"6,459",276,"162,788","1,349","16,575,546","1,597,273","10,377,400 ",Asia,67411,,,622
45,Slovakia,"1,666,482","+9,649","19,209 ",+24,"1,527,325","+12,042","119,948",203,"304,982","3,515","6,782,808","1,241,319","5,464,192 ",Europe,32841,"1,766",4,"21,952"
46,Georgia,"1,644,711",+599,"16,688 ",+7,"1,608,441","+3,846","19,582",,"413,661","4,197","16,262,859","4,090,266","3,975,991 ",Asia,22380,151,2,"4,925"
47,Pakistan,"1,523,072",+210,"30,333 ",,"1,484,676",+180,"8,063",445,"6,672",133,"27,268,079","119,456","228,268,399 ",Asia,"1507,5258",0.9,,35
48,Ireland,"1,404,929",,"6,685 ",,"1,270,093",,"128,151",55,"279,161","1,328","11,670,408","2,318,927","5,032,676 ",Europe,47530,,,"25,464"
49,Norway,"1,390,035",,"2,339 ",,N/A,N/A,N/A,20,"253,001",426,"9,852,076","1,793,185","5,494,177 ",Europe,"42,3491",,,"236,386"
50,Kazakhstan,"1,304,961",+12,"13,656 ",,"1,285,329",+229,"5,976",528,"68,098",713,"11,575,012","604,027","19,163,085 ",Asia,"151,4032",0.6,,312
51,Morocco,"1,162,686",,"16,055 ",,"1,146,060",,571,293,"30,871",426,"11,237,010","298,355","37,663,197 ",Africa,"322,3463",,,15
52,Bulgaria,"1,129,641",,"36,375 ",,"902,012",,"191,254",233,"164,708","5,304","9,511,193","1,386,785","6,858,449 ",Europe,61891,,,"27,886"
53,Lebanon,"1,089,419",,"10,263 ",,"1,039,011",,"40,145",186,"160,851","1,515","4,795,578","708,059","6,772,853 ",Asia,66601,,,"5,927"
54,Hong Kong,"1,088,150",,"6,569 ",,N/A,N/A,N/A,115,"143,147",864,"36,260,319","4,770,072","7,601,629 ",Asia,"71,1570",,,"140,542"
55,Croatia,"1,087,635",,"15,476 ",,"1,061,446",,"10,713",43,"267,778","3,810","4,636,561","1,141,530","4,061,708 ",Europe,42621,,,"2,638"
56,Cuba,"1,083,691",,"8,508 ",,"1,071,691",,"3,492",23,"95,777",752,"12,920,253","1,141,898","11,314,720 ",North America,"101,3301",,,309
57,Singapore,"1,044,661",,"1,220 ",,"1,009,408",,"34,033",18,"176,180",206,"23,477,384","3,959,417","5,929,506 ",Asia,"64,8600",,,"5,740"
58,Tunisia,"1,033,731",,"28,165 ",,N/A,N/A,N/A,63,"85,920","2,341","4,500,701","374,080","12,031,377 ",Africa,124273,,,-46.05
59,Lithuania,"1,006,330","+3,723","8,788 ",+15,"928,106","+4,982","69,436",62,"378,755","3,308","8,006,870","3,013,564","2,656,944 ",Europe,33020,"1,401",6,"26,134"
60,Nepal,"978,265",,"11,951 ",,"963,861",,"2,453",100,"32,567",398,"5,517,174","183,673","30,038,097 ",Asia,"312,5135",,,82
61,Belarus,"953,901",,"6,747 ",,"928,536",,"18,618",,"101,006",714,"12,758,181","1,350,933","9,443,975 ",Europe,"101,4001",,,"1,971"
62,Slovenia,"946,340",,"6,454 ",,"903,596",,"36,290",55,"455,096","3,104","2,603,388","1,251,972","2,079,430 ",Europe,23221,,,"17,452"
63,Bolivia,"900,260",,"21,483 ",,"822,138",,"56,639",220,"75,355","1,798","2,682,016","224,494","11,946,927 ",South America,135564,,,"4,741"
64,UAE,"888,718",,"2,302 ",,"859,713",,"26,703",,"88,027",228,"145,740,412","14,435,495","10,095,976 ",Asia,"114,3860",,,"2,645"
65,Uruguay,"879,618",,"7,144 ",,"862,769",,"9,705",43,"251,719","2,044","5,924,427","1,695,384","3,494,445 ",South America,44891,,,"2,777"
66,Ecuador,"854,252",,"35,410 ",,N/A,N/A,N/A,759,"47,186","1,956","2,470,170","136,444","18,103,877 ",South America,215117,,,"20,712"
67,Finland,"834,038","+12,502","2,951 ",+3,"46,000",,"785,087",40,"150,128",531,"10,316,301","1,856,942","5,555,531 ",Europe,"71,8831","2,250",0.5,"141,316"
68,Costa Rica,"832,966",,"8,261 ",,"780,034",,"44,671",66,"160,986","1,597","3,913,872","756,428","5,174,150 ",North America,66261,,,"8,633"
69,Guatemala,"820,477",,"17,258 ",,"787,798",,"15,421",5,"44,385",934,"4,169,134","225,535","18,485,518 ",North America,"231,0714",,,834
70,Azerbaijan,"791,583",,"9,670 ",,"781,303",,610,,"76,879",939,"6,673,982","648,185","10,296,412 ",Asia,"131,0652",,,59
71,Latvia,"780,831",,"5,538 ",,"714,444",,"60,849",29,"421,998","2,993","6,999,740","3,782,987","1,850,321 ",Europe,23340,,,"32,886"
72,Panama,"762,394",,"8,159 ",,"751,640",,"2,595",10,"172,036","1,841","5,652,768","1,275,560","4,431,596 ",North America,65431,,,586
73,Saudi Arabia,"750,080",+115,"9,034 ",+1,"732,741",+145,"8,305",146,"20,983",253,"41,436,288","1,159,172","35,746,440 ",Asia,"483,9571",3,0.03,232
74,Sri Lanka,"660,151",,"16,445 ",,"624,863",,"18,843",,"30,608",762,"6,368,159","295,263","21,567,736 ",Asia,"331,3123",,,874
75,Paraguay,"647,538",,"18,606 ",,"623,705",,"5,227",48,"88,908","2,555","2,577,147","353,845","7,283,259 ",South America,113913,,,718
76,Kuwait,"627,753",,"2,553 ",,"622,842",,"2,358",10,"143,348",583,"7,763,313","1,772,766","4,379,209 ",Asia,"71,7151",,,538
77,Myanmar,"609,915",,"19,428 ",,"566,375",,"24,112",,"11,082",353,"7,548,638","137,155","55,037,395 ",Asia,"902,8337",,,438
78,Palestine,"580,873",,"5,345 ",,"574,144",,"1,384",17,"109,489","1,007","3,078,533","580,274","5,305,310 ",Asia,99932,,,261
79,Dominican Republic,"577,476",,"4,375 ",,"572,674",,427,24,"52,331",396,"3,202,322","290,195","11,035,066 ",North America,"192,5223",,,39
80,New Zealand,"557,330","+18,491",192 ,+8,"438,269","+19,603","118,869",,"111,419",38,"6,899,840","1,379,389","5,002,100 ",Australia/Oceania,"926,0531","3,697",2,"23,764"
81,Bahrain,"547,951",,"1,466 ",,"538,002",,"8,483",5,"303,876",813,"9,563,356","5,303,526","1,803,207 ",Asia,"31,2300",,,"4,704"
82,Estonia,"546,885",,"2,418 ",,"460,259",,"84,208",16,"411,789","1,821","3,215,329","2,421,054","1,328,070 ",Europe,25490,,,"63,406"
83,Venezuela,"519,872",,"5,673 ",,"511,803",,"2,396",230,"18,372",200,"3,359,014","118,704","28,297,306 ",South America,"544,9888",,,85
84,Moldova,"511,231",,"11,401 ",,"496,239",,"3,591",60,"127,241","2,838","3,125,532","777,915","4,017,831 ",Europe,83521,,,894
85,Libya,"501,296",,"6,389 ",,"488,407",,"6,500",102,"71,288",909,"2,466,659","350,775","7,032,023 ",Africa,"141,1013",,,924
86,Egypt,"500,889",,"24,361 ",,"430,198",,"46,330",122,"4,741",231,"3,693,367","34,957","105,653,747 ",Africa,"2114,33729",,,439
87,Ethiopia,"469,523",,"7,491 ",,"427,324",,"34,708",17,"3,917",62,"4,615,990","38,512","119,859,304 ",Africa,"25516,00026",,,290
88,Mongolia,"467,781",+55,"2,177 ",,"313,256",,"152,348",192,"138,845",646,"4,030,048","1,196,182","3,369,094 ",Asia,"71,5481",16,,"45,219"
89,Armenia,"422,401",+19,"8,604 ",+1,"409,635",+47,"4,162",,"142,090","2,894","2,959,560","995,555","2,972,773 ",Asia,73461,6,0.3,"1,400"
90,Honduras,"418,492",,"10,869 ",,"131,100",,"276,523",105,"41,127","1,068","1,263,329","124,153","10,175,561 ",North America,249368,,,"27,175"
91,Cyprus,"392,019",,927 ,,"124,370",,"266,722",60,"320,675",758,"9,477,138","7,752,381","1,222,481 ",Asia,"31,3190",,,"218,181"
92,Oman,"387,922",+93,"4,250 ",,"381,949",+192,"1,723",15,"72,782",797,"25,000,000","4,690,520","5,329,899 ",Asia,"141,2540",17,,323
93,Bosnia and Herzegovina,"374,573",,"15,691 ",,"192,218",,"166,664",,"115,406","4,834","1,728,874","532,665","3,245,707 ",Europe,92072,,,"51,349"
94,Qatar,"360,382",,677 ,,"358,574",,"1,131",1,"128,350",241,"3,402,229","1,211,704","2,807,805  ",Asia,"84,1471",,,403
95,Réunion,"327,189",,702 ,,"314,338",,"12,149",41,"361,014",775,"1,569,429","1,731,677","906,306 ",Africa,"31,2911",,,"13,405"
96,Kenya,"323,319",,"5,647 ",,"317,581",,91,1,"5,793",101,"3,482,807","62,407","55,807,883 ",Africa,"1739,88316",,,2
97,Zambia,"316,190",,"3,964 ",,"311,348",,878,1,"16,409",206,"3,338,247","173,245","19,268,949 ",Africa,"614,8616",,,46
98,North Macedonia,"304,047",,"9,188 ",,"292,886",,"1,973",,"145,950","4,410","1,904,444","914,180","2,083,227 ",Europe,72271,,,947
99,Albania,"273,164",,"3,489 ",,"269,256",,419,13,"95,100","1,215","1,769,904","616,178","2,872,390 ",Europe,118232,,,146
100,Algeria,"265,585",,"6,873 ",,"178,214",,"80,498",7,"5,874",152,"230,861","5,106","45,212,869 ",Africa,"1706,578196",,,"1,780"
101,Botswana,"263,950",,"2,619 ",,"259,434",,"1,897",1,"108,475","1,076","2,026,898","832,991","2,433,278 ",Africa,99291,,,780
102,Nigeria,"255,244",,"3,142 ",,"249,486",,"2,616",11,"1,188",15,"4,726,096","21,990","214,923,333 ",Africa,"84268,40345",,,12
103,Zimbabwe,"245,194",,"5,432 ",,"235,505",,"4,257",12,"16,094",357,"2,167,273","142,255","15,235,096 ",Africa,"622,8057",,,279
104,Uzbekistan,"237,533",+6,"1,637 ",,"235,224",+37,672,23,"6,924",48,"1,377,915","40,168","34,303,572 ",Asia,"14420,95525",0.2,,20
105,Montenegro,"232,462",,"2,696 ",,"229,046",,720,6,"370,043","4,292","1,201,149","1,912,040","628,203 ",Europe,32331,,,"1,146"
106,Mozambique,"225,220",,"2,200 ",,"222,045",,975,13,"6,875",67,"1,290,853","39,403","32,760,632 ",Africa,"14514,89125",,,30
107,Luxembourg,"203,861",,"1,019 ",,"187,598",,"15,244",4,"316,803","1,584","4,131,847","6,420,957","643,494 ",Europe,36310,,,"23,689"
108,Kyrgyzstan,"200,847",+11,"2,982 ",,"196,129",+16,"1,736",131,"29,935",444,"1,907,195","284,260","6,709,331 ",Asia,"332,2504",2,,259
